asn	org_name	count
AS46652	DigitalOcean, LLC	1
AS48447	Sectigo Limited	1
AS53334	Total Uptime Technologies, LLC	1
AS54994	Meteverse Limited.	1
AS56173	internet content provider	1
AS56322	ServerAstra Kft.	1
AS56630	Melbikomas UAB	1
AS59253	LEASEWEB SINGAPORE PTE. LTD.	1
AS6185	Apple Inc.	1
AS61969	Team Internet AG	1
AS7482	Asia Pacific On-line Service Inc.	1
AS7506	GMO Internet Group, Inc.	1
AS7656	Taiwan Network Access Point	1
AS8068	Microsoft Corporation	1
AS9216	PUNET Taiwan	1
AS9370	SAKURA Internet Inc.	1
AS9676	SaveCom Internation Inc.	1
AS9916	National Yang Ming Chiao Tung University	1
